"code", "display", "parent", "url"
"dwp-digital-it", "DWP Digital IT", "DEPARTMENT_FOR_WORK_AND_PENSIONS", null
"dwp-finance-group", "DWP Finance Group", "DEPARTMENT_FOR_WORK_AND_PENSIONS", null
"dwp-ops-cmg", "DWP Operations - Service Excellence, Child Maintenance Group", "DEPARTMENT_FOR_WORK_AND_PENSIONS", null
"dwp-ops-cfed", "DWP Operations - Service Excellence, Counter Fraud, Error and Debt", "DEPARTMENT_FOR_WORK_AND_PENSIONS", null
"dwp-ops-ce", "DWP Operations - Service Excellence, Customer Experience", "DEPARTMENT_FOR_WORK_AND_PENSIONS", null
"dwp-ops-drs", "DWP Operations - Service Excellence, Dispute Resolution Service", "DEPARTMENT_FOR_WORK_AND_PENSIONS", null
"dwp-ops-rs", "DWP Operations - Service Excellence, Retirement Services", "DEPARTMENT_FOR_WORK_AND_PENSIONS", null
"dwp-ops-sm", "DWP Operations - Service Excellence, Service Modernisation", "DEPARTMENT_FOR_WORK_AND_PENSIONS", null
"dwp-ops-spd", "DWP Operations - Service Excellence, Service Planning and Delivery", "DEPARTMENT_FOR_WORK_AND_PENSIONS", null
"dwp-ops-dsdmwa", "DWP Operations - Work and Health, Disability Services Decision Making and Working Age Directorate", "DEPARTMENT_FOR_WORK_AND_PENSIONS", null
"dwp-ops-uco", "DWP Operations - Work and Health, Universal Credit Operations", "DEPARTMENT_FOR_WORK_AND_PENSIONS", null
"dwp-people-and-capability", "DWP People and Capability", "DEPARTMENT_FOR_WORK_AND_PENSIONS", null
"dwp-policy-team", "DWP Policy Team", "DEPARTMENT_FOR_WORK_AND_PENSIONS", null
"dwp-private-office", "DWP Private Office", "DEPARTMENT_FOR_WORK_AND_PENSIONS", null
"dwp-strategy-directorate", "DWP Strategy Directorate", "DEPARTMENT_FOR_WORK_AND_PENSIONS", null
"dwp-other", "DWP - Other", "DEPARTMENT_FOR_WORK_AND_PENSIONS", null
"education-and-skills-funding-agency", "Education and Skills Funding Agency (ESFA)", "DEPARTMENT_FOR_EDUCATION", null
"engineering-construction-industry-training-board", "Engineering Construction Industry Training Board (ECITB)", "DEPARTMENT_FOR_EDUCATION", null
"environment-agency", "Environment Agency (EA)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", "https://defra.sharepoint.com/sites/Community739/SitePages/One-Big-Thing.aspx?OR=Teams-HL&CT=1693306749553"
"the-equality-hub", "Equality Hub", "CABINET_OFFICE", null
"estyn", "Estyn", "WELSH_GOVERNMENT", null
"exmoor-national-park-authority", "Exmoor National Park Authority (Exmoor)", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", null
"fcdo-services", "FCDO Services", "FOREIGN_COMMONWEALTH_AND_DEVELOPMENT_OFFICE", "https://fcogovuk.sharepoint.com/sites/intranet-learning/SitePages/one-big-thing.aspx"
"flood-re", "Flood Re", "DEPARTMENT_FOR_ENVIRONMENT_FOOD_AND_RURAL_AFFAIRS", null
"food-standards-agency", "Food Standards Agency (FSA)", "FOOD_STANDARDS_AGENCY", null
"foreign-commonwealth-development-office", "Foreign, Commonwealth & Development Office (FCDO)", "FOREIGN_COMMONWEALTH_AND_DEVELOPMENT_OFFICE", "https://fcogovuk.sharepoint.com/sites/intranet-learning/SitePages/one-big-thing.aspx"
